Coldplay,532797,94096
Radiohead,677696,87532
Rihanna,553411,84744
Muse,568677,79689
Florence + the Machine,455042,74282
Mumford & Sons,474389,69733
David Bowie,709044,71452
The xx,487334,71351
Lana Del Rey,657113,71756
Red Hot Chili Peppers,442400,68356
The Beatles,705056,67649
The Black Keys,432594,64789
Macklemore & Ryan Lewis,360483,67391
Linkin Park,503553,62208
Adele,285017,61889
Nirvana,355250,60965
Calvin Harris,231505,63293
The Killers,365471,59225
Maroon 5,271578,58677
Imagine Dragons,377325,61536
Arctic Monkeys,478525,57740
Bruno Mars,261386,59002
Foo Fighters,296691,53945
Ellie Goulding,304354,55600
Kanye West,256847,53041
The Rolling Stones,289864,53817
Daft Punk,341101,54538
The Strokes,301787,52216
Queen,316005,54002
David Guetta,189144,54095
The Lumineers,238344,51327
Metallica,390852,53127
Pink Floyd,524792,51320
Of Monsters and Men,232207,50616
Green Day,293903,49910
Two Door Cinema Club,253970,47763
M83,215176,50128
Bon Iver,257641,46715
Gorillaz,243794,48174
Justin Timberlake,185527,48984
Eminem,257131,46201
Taylor Swift,353812,47112
Foster the People,167561,46079
Kings of Leon,226453,44587
fun.,171766,46460
Phoenix,221146,45983
P!nk,222041,43220
The Smiths,323145,44632
System of a Down,310599,41649
Swedish House Mafia,122522,44745
The Cure,249209,43849
Yeah Yeah Yeahs,167872,43526
Passion Pit,174364,41251
Foals,376032,43851
Depeche Mode,286260,42395
Led Zeppelin,289693,40517
MGMT,141435,41151
Kendrick Lamar,271343,39094
Arcade Fire,217008,40773
Skrillex,167612,41040
Oasis,225273,39747
Bob Dylan,240095,40746
Alt-J,356706,42436
The White Stripes,202619,39087
Katy Perry,166438,37165
Beyoncé,227798,37977
Ke$ha,214520,38777
Jay-Z,145526,38553
Lady Gaga,289807,37935
U2,181110,39280
blink-182,255673,37562
Drake,180979,34805
Frank Ocean,249624,36904
Guns N' Roses,174042,37125
Michael Jackson,166829,37335
Pearl Jam,229562,36451
Avicii,106362,38132
Death Cab for Cutie,176021,37092
The Doors,234198,36305
Massive Attack,182369,36418
deadmau5,165688,36159
The Offspring,198558,35210
Crystal Castles,283818,36814
Gotye,98769,37240
Madonna,251312,35265
A$AP Rocky,234994,33418
The Script,137362,34297
Paramore,235042,35034
Johnny Cash,179364,34062
Ed Sheeran,191804,35389
Fall Out Boy,202332,34379
One Direction,306714,34702
The Smashing Pumpkins,176557,33717
Blur,170690,33498
[unknown],347271,35557
will.i.am,82560,34909
Flo Rida,89345,32789
Tame Impala,238243,34271
The Kooks,167106,32167
AC/DC,209806,32284
Jimi Hendrix,213672,31549
R.E.M.,129011,32348
Placebo,231421,32358
Vampire Weekend,122067,30881
Nicki Minaj,141634,30624
Britney Spears,266645,30874
Lykke Li,108693,31616
Franz Ferdinand,141801,30178
Kid Cudi,133594,29245
Iron Maiden,245191,30796
Weezer,125479,30691
Fleetwood Mac,155486,30616
The National,222719,30795
The Shins,129539,30401
Aerosmith,121754,29864
Queens of the Stone Age,184171,29618
Snow Patrol,122495,29801
Alicia Keys,120106,29768
Sigur Rós,217167,30174
Nine Inch Nails,248073,29784
Pixies,160371,30366
John Mayer,184469,29314
Bloc Party,136812,30024
Marina & the Diamonds,256247,29106
Modest Mouse,182796,29553
Moby,135373,29710
Korn,175935,27817
Rise Against,213179,27637
Black Sabbath,168581,27877
The Prodigy,126612,28700
Christina Aguilera,203033,26902
Beck,113595,28424
Rage Against the Machine,121720,27291
Kasabian,154770,26945
The Who,114144,27765
Bon Jovi,149486,28601
Amy Winehouse,147847,27546
Nickelback,127339,25724
Grizzly Bear,134430,27779
Marilyn Manson,186852,27140
Regina Spektor,129384,27720
Band of Horses,108376,26757
Slipknot,148924,25318
My Chemical Romance,180225,27024
Beach House,162726,26492
30 Seconds to Mars,160604,26782
AWOLNATION,92507,27452
Joy Division,180533,26517
Fleet Foxes,120208,25052
Pitbull,81596,26669
Jason Mraz,101311,25584
Evanescence,167118,25725
James Blake,131488,27394
Chris Brown,82954,23542
The Clash,120453,26113
Nick Cave and the Bad Seeds,249370,26997
OneRepublic,146062,25424
Kelly Clarkson,112942,24741
The Naked and Famous,85086,26055
Simon & Garfunkel,103199,25420
Rammstein,227928,25651
Creedence Clearwater Revival,106953,24504
Incubus,126581,24644
Black Eyed Peas,78743,24493
Bruce Springsteen,134559,25181
Grimes,177909,26089
Justin Bieber,133283,25238
Lil' Wayne,80885,21607
The Temper Trap,74678,24750
